"","id","set_roam","n_days","n_obs","max","sd","mean","median","IQR"
"1","0C (Callaway colt 2014)","settled","88","4975","44576.6977521167","3853.48182608206","10635.3676951441","9652.86556120848","2098.01409637763"
"2","0C (Callaway colt 2014)","roam","18","816","210638.633510601","38929.0140085735","85269.7269538305","83366.0278443374","52181.4954474774"
"3","0M (N of Mud Lake)","settled","111","6077","65363.8958054586","6023.15251862962","21569.9391005498","19665.371850648","465.55426506418"
"4","0M (N of Mud Lake)","roam","27","1470","230335.234654542","34262.3280337813","103516.600716171","112891.584507144","42987.2176366323"
"5","2A (Helliksen July 2015 colt)","settled","153","8856","12523.4378228785","1029.78219935641","1271.45449306769","1059.26493934915","1009.05750997843"
"6","7K (Larson colt #1)","settled","117","6173","104536.807402727","24515.1969231329","33436.2043881459","26914.8289815715","6479.44151795236"
"7","7K (Larson colt #1)","roam","19","929","151096.469052205","27819.8750385306","44222.9078486893","33233.475552358","29698.1535770947"
"8","4A (Dower colt)","settled","113","6579","127041.052825482","26358.597146711","27740.515837524","16420.7325049899","1658.24284589973"
"9","4A (Dower colt)","roam","31","1624","222492.642151361","25824.7647304629","34529.6425900846","28464.989077057","38607.8635450891"
"10","5A (W Staples colt #1)","settled","144","7840","20376.9968485432","2688.4970703087","5361.91375882134","5056.66423998432","3857.26375646231"
"11","5A (W Staples colt #1)","roam","8","280","82947.4733839963","24354.4648148241","30815.6628947857","19176.2572076148","14915.3842843726"
"12","5C (Stockyard colt)","settled","107","6055","118008.317563275","27953.4824594004","33028.9670747934","25124.8863037671","8876.79639261514"
"13","5C (Stockyard colt)","roam","20","1000","159975.434511102","48300.7030079239","64520.6044877722","41302.2954640864","88027.4583919466"
"14","6A (Pelican Rapids colt)","settled","111","5965","24533.9237362891","2383.4011431514","5663.11545121625","4994.53640424017","2152.54915616751"
"15","6A (Pelican Rapids colt)","roam","21","1059","139897.537412802","36103.3275551092","43758.8075986776","32272.7287271098","42990.6163701446"
"16","6C (Rice Lake colt 2014)","settled","83","3868","27026.2388186988","4409.31662638177","11027.5034583688","12158.5050785502","5419.31725846602"
"17","6M (Larson colt #2)","settled","73","4035","121455.267167318","14064.5156415618","41763.9065654381","43196.4701993874","12111.9004550523"
"18","6M (Larson colt #2)","roam","4","169","78368.3756692307","17538.7218159147","65225.6755386719","73717.5608316425","3373.34177810635"
"19","7E (Nora Township colt)","settled","127","7241","59125.7544301693","5441.19389220719","3762.9918643956","2325.5490416165","2117.92901693007"
"20","7J (Melby colt #1)","settled","102","6223","322264.41688187","75328.9329750059","83514.6091611911","83124.3026837725","60126.9391778485"
"21","7J (Melby colt #1)","roam","14","653","313895.926342092","75150.7354661959","139718.347429669","129582.86903674","109073.033508356"
"22","1K (Melby colt #2)","settled","133","3167","90826.6249729015","12117.2645648919","42578.4575672222","39567.7795787446","27616.1583550036"
"23","1K (Melby colt #2)","roam","11","115","112895.270844277","27265.898424509","36770.8085521933","31834.7271675956","56659.4762227493"
